year,grupo_edad,total,preescolar,basica_primaria,basica_secundaria,media_academica_o_clasica,media_tecnica,normalista,tecnica_profesional,tecnologica,profesional,especializacion,maestria,doctorado,ninguno,sin_informacion
2019,De 10-14 Años,4795,39,1935,2404,74,0,0,0,0,0,0,0,0,96,247
2019,De 15-19 Años,118163,261,18689,48812,38651,1983,34,1733,815,547,0,0,0,1113,5525
2019,De 20-24 Años,184908,326,17290,41937,76892,5426,153,15959,8175,9260,62,5,0,1520,7903
2019,De 25-29 Años,156451,335,14245,24960,53675,4314,168,18132,9758,22572,1162,265,7,1372,5486
2019,De 30-34 Años,105039,354,11922,13530,30036,2472,124,11048,5687,21265,2838,888,40,1290,3545
2019,De 35-39 Años,56421,279,7848,6851,14313,1114,46,5097,2550,12312,2261,830,70,938,1912
2019,De 40-44 Años,13997,124,2849,1705,3299,229,13,1020,511,2606,470,154,16,410,591
2019,De 45-49 Años,962,11,261,124,204,12,1,40,25,131,29,17,1,53,53
2019,De 50-54 Años,125,1,15,15,34,2,0,9,3,16,4,1,0,10,15
2019,Sin información,1799,0,0,0,0,0,0,0,0,0,0,0,0,2,1797
2020,De 10-14 Años,4301,27,1756,2140,75,7,1,0,0,0,0,0,0,76,219
2020,De 15-19 Años,110672,274,18339,45234,36924,1943,31,1462,612,463,0,0,0,878,4512
2020,De 20-24 Años,182230,326,17459,41404,78359,5590,162,15018,7343,8442,70,1,0,1266,6790
2020,De 25-29 Años,156030,300,13853,24729,55457,4772,161,18030,9198,21703,1133,220,5,1116,5353
2020,De 30-34 Años,103154,283,11229,13361,29984,2593,85,11047,5562,21029,2496,845,36,1082,3522
2020,De 35-39 Años,55190,240,7617,6739,14362,1255,65,4974,2371,11662,2116,835,59,832,2063
2020,De 40-44 Años,14391,112,2929,1696,3402,250,13,1098,486,2585,440,186,22,392,780
2020,De 45-49 Años,1032,9,240,136,193,17,0,45,21,157,32,10,1,59,112
2020,De 50-54 Años,130,0,17,18,37,2,0,8,1,14,3,2,0,6,22
2020,Sin información,2272,0,0,0,0,0,0,0,0,0,0,0,0,75,2197
2021,De 10-14 Años,4895,33,1940,2417,68,5,0,0,0,0,0,0,0,101,331
2021,De 15-19 Años,107741,284,18832,45342,34220,1856,35,1083,484,296,0,0,0,1047,4262
2021,De 20-24 Años,175376,331,17727,41985,75121,5403,148,13268,7008,7092,66,1,0,1420,5806
2021,De 25-29 Años,154019,335,13634,25577,54051,4854,163,17436,9695,21011,1074,254,5,1404,4526
2021,De 30-34 Años,103612,363,11251,13491,29711,2708,116,11166,6153,20809,2698,934,25,1276,2911
2021,De 35-39 Años,54963,301,7844,6543,14104,1259,58,4947,2477,11431,2172,894,58,1124,1751
2021,De 40-44 Años,14798,115,2973,1791,3414,300,13,1068,578,2564,545,237,12,519,669
2021,De 45-49 Años,1029,15,270,109,186,20,1,42,29,133,27,13,4,78,102
2021,De 50-54 Años,171,2,17,18,41,2,1,2,3,29,6,0,2,9,39
2021,Sin información,310,0,0,0,0,0,0,0,0,0,0,0,0,2,308
2022,De 10-14 Años,4226,29,1741,2018,78,11,0,1,0,0,0,0,0,108,240
2022,De 15-19 Años,93977,209,15785,39655,29836,1697,61,1059,474,304,0,0,0,1073,3824
2022,De 20-24 Años,157022,215,14554,37357,67177,4813,224,12830,6781,6545,63,11,0,1413,5039
2022,De 25-29 Años,146322,233,11564,23871,50064,4280,235,17545,10525,21274,1176,244,4,1249,4058
2022,De 30-34 Años,102594,240,9663,13098,28643,2412,141,11702,6853,22139,2810,897,32,1172,2792
2022,De 35-39 Años,53560,213,7054,6551,13094,1077,64,5029,2751,12008,2340,984,65,884,1446
2022,De 40-44 Años,14689,90,2598,1778,3387,259,13,1220,651,2768,615,255,22,480,553
2022,De 45-49 Años,967,9,210,116,201,11,0,54,25,146,27,13,0,62,93
2022,De 50-54 Años,107,0,11,10,27,1,1,7,4,15,2,2,0,9,18
2022,Sin información,161,0,0,0,0,0,0,0,0,0,0,0,0,0,161
2023,De 10-14 Años,3837,19,1453,2027,76,5,1,0,0,0,0,0,0,78,178
2023,De 15-19 Años,78617,91,12194,32962,26116,1216,51,1010,513,298,0,0,0,957,3209
2023,De 20-24 Años,138341,135,11987,31976,59709,3473,178,11715,6999,6080,53,10,1,1134,4891
2023,De 25-29 Años,132592,122,9556,21101,45283,2976,183,16008,10423,20437,1242,241,0,978,4042
2023,De 30-34 Años,96828,129,8110,12038,26787,1795,135,11003,7154,21865,3121,904,28,926,2833
2023,De 35-39 Años,50246,102,6110,5766,12059,793,60,4689,3080,11592,2441,1016,56,795,1687
2023,De 40-44 Años,13723,42,2307,1666,3108,220,23,1107,670,2688,558,278,26,376,654
2023,De 45-49 Años,955,9,203,95,150,11,2,55,27,155,39,15,4,74,116
2023,De 50-54 Años,47,0,11,2,4,1,0,0,0,5,4,0,0,5,15
2023,Sin información,363,0,0,0,0,0,0,0,0,0,0,0,0,0,363
2024,De 10-14 Años,3200,11,1211,1668,61,4,1,0,0,0,0,0,0,75,169
2024,De 15-19 Años,64792,73,9469,26451,22107,1024,73,1018,473,243,0,0,0,700,3161
2024,De 20-24 Años,120556,79,9636,27144,51534,2938,220,10821,6306,5826,81,10,0,898,5063
2024,De 25-29 Años,118464,93,7541,18149,39215,2490,201,15029,10040,19158,1344,238,8,825,4133
2024,De 30-34 Años,87761,101,6181,10652,23438,1496,133,10281,7089,20830,2948,963,23,708,2918
2024,De 35-39 Años,45044,68,4814,5099,10463,630,54,4226,2882,10958,2337,1047,48,623,1795
2024,De 40-44 Años,12416,29,1946,1425,2668,160,21,1026,576,2448,624,295,27,334,837
2024,De 45-49 Años,917,4,195,98,136,5,1,50,20,117,27,17,0,54,193
2024,De 50-54 Años,82,0,7,4,2,0,0,4,2,10,1,3,1,5,43
2024,Sin información,669,0,0,0,0,0,0,0,0,0,0,0,0,0,669
2025,De 10-14 Años,2929,12,1044,1586,64,3,0,0,0,0,0,0,0,81,139
2025,De 15-19 Años,57973,66,8323,23461,20771,809,126,998,479,248,0,0,0,597,2095
2025,De 20-24 Años,112575,81,8132,24739,50583,2503,375,10715,6188,5387,68,6,0,748,3050
2025,De 25-29 Años,116170,80,6718,16974,39709,2344,299,15191,10130,19899,1381,255,2,662,2526
2025,De 30-34 Años,87054,75,5369,9639,23676,1459,172,10376,7394,22190,3221,1054,31,632,1766
2025,De 35-39 Años,44507,68,4245,4694,10449,619,85,4558,2919,11626,2651,1074,46,581,892
2025,De 40-44 Años,11739,28,1774,1285,2722,133,27,934,658,2596,610,312,27,318,315
2025,De 45-49 Años,691,7,144,74,119,4,0,38,22,139,26,18,2,61,37
2025,De 50-54 Años,40,0,8,5,4,0,0,0,1,8,2,1,0,4,7
2025,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
