año,producción (%),servicios laborales mujeres (pp),servicios laborales hombres (pp),servicios laborales total (pp),servicios de capital (pp),consumos intermedios (pp),contribución de los factores (pp),productividad total de los factores (pp)
2005,5.266710463048241,0.8454270964362388,0.9830103012821177,1.8284373977183566,0.7517417857393127,2.6142745657227855,5.194453749180455,0.07321135025945857
2006,6.538878085128862,-0.16230339717827155,-0.08279232037256051,-0.24509571755083207,1.166100268941223,3.4118812391777174,4.332885790568108,2.205996411408322
2007,6.108052561914324,1.2521591607121858,1.8668947928646058,3.119053953576792,1.45601667367032,2.9197336355705765,7.494804262817688,-1.386751411319521
2008,3.536170098948586,0.4526352756016556,0.6477417630322236,1.1003770386338791,1.304832070775015,1.933477066535007,4.338686175943901,-0.8025167062472658
2009,0.2090175902593837,0.33446430272378286,-0.13935858128010944,0.1951057214436734,1.060218517273289,-0.47845398892259294,0.7768702497943695,-0.5678534418132021
2010,3.896883927467329,0.7807699257807178,1.2641354630026598,2.0449053887833775,1.108460275089044,1.673096609641238,4.826462273513659,-0.929584553144964
2011,6.400132043518472,0.6544385254816568,0.9527702800654148,1.6072088055470717,1.501485374255232,3.0161892124774803,6.124883392279784,0.2752486512386846
2012,3.294319422660301,0.164179669856078,0.4892354917890541,0.6534151616451321,1.479145007095432,1.3197342232660538,3.452294392006618,-0.1579749693463642
2013,4.763238623685755,0.4864043800917798,0.52557609398877,1.0119804740805498,1.401183149317421,2.0434604394623315,4.4566240628603015,0.306614560825448
2014,3.738562582352405,0.6677408863059093,0.9126439504855172,1.5803848367914264,1.392786130136601,1.466167683380178,4.439338650308205,-0.7006231912463368
2015,3.178792758244401,0.31459759254921216,-0.06503050199430421,0.24956709055490794,0.9301792611969877,1.612663412656301,2.792409764408197,0.3862721610498867
2016,1.467999858889725,0.385197200915197,0.5274164837443726,0.9126136846595696,0.7933138304137253,0.34132256497170865,2.0472500800450035,-0.5792483290867567
2017,0.4200472577350662,0.02316433879467999,-0.19683212247972198,-0.173667783685042,0.7452001166887998,-0.2704367266065185,0.3010956063972393,0.118901336283229
2018,2.24346944203088,0.15249203030785563,0.3947557324133221,0.5472477627211778,0.5858721876787776,0.9551972343618829,2.0883171847618383,0.1551641099456086
2019,2.49828693451361,0.30724751894491054,0.451933978901007,0.7591814978459175,0.6589464517017092,0.9355838816730717,2.353711831220698,0.1445613406672486
2020,-8.554652568163663,-1.2996359016305323,-2.068667526328966,-3.3683034279594986,0.2235072769361079,-4.630255532537199,-7.775051683560591,-0.7796008846031638
2021,10.57476198098776,1.638333578385448,2.1639782897625923,3.80231186814804,0.492481629429129,5.665655864498775,9.960449362075945,0.6143126189117988
2022,8.048415621681285,1.0590541173845638,1.1398517694993766,2.1989058868839404,0.7703689999758565,5.034663064733973,8.003937951593773,0.04447767008751363
2023,0.6911439906250468,0.3297619168027042,0.40117792735423047,0.7309398441569347,0.3202129559779088,0.14573225021734754,1.1968850503521804,-0.5057410597271336
2024,0.8444873596331464,-0.07331951835445556,-0.040941987680355445,-0.114261506034811,0.3293428177956745,0.00632240580051735,0.22140371756140542,0.6230836420717408
